name,capacity_mw,primary_fuel,commissioning_year,State,Plant Name,Generation (kWh),Fuel Consumption for Electric Generation (MMBtu),Metric Tonnes of CO2 Emissions,emissions_per_KWh
mandalay,574,Gas,1961.644599,,,,,,
mangum,6.7,Gas,1960.522388,OK,Mangum,38000,481,27.61628053,0.000726744
manistique,4.8,Oil,1967.583333,MI,Manistique,852000,10974,802.8651235,0.00094233
mankato energy center,530,Gas,2006,MN,Mankato Energy Center,2054197000,14557154,772767.7455,0.00037619
manning,7.9,Oil,2002.962025,IA,Manning,424000,5934,434.1353784,0.001023904
maple lake,25,Oil,1978,MN,Maple Lake,494000,8458,618.7928936,0.001252617
maquoketa 1,24.4,Gas,1986.22541,IA,Maquoketa 1,-550000,1635,113.8919832,-0.000207076
maquoketa 2,8,Oil,2001.5,IA,Maquoketa 2,-233000,0,0,0
marathon electric,2.6,Oil,1981.076923,WI,Marathon Electric,1000,18,1.316891947,0.001316892
marathon generating plant,22,Oil,1980.386364,FL,Marathon Generating Plant,-260000,1134,82.96419264,-0.000319093
marbo ct,16,Oil,1993,,,,,,
marceline,8,Oil,2001.375,MO,Marceline,8000,93,6.803941724,0.000850493
march point cogeneration,139.8,Gas,1991.666667,WA,March Point Cogeneration,632788335,3638150,397001.8032,0.000627385
marcus hook energy lp,836.1,Gas,2005,PA,Marcus Hook Energy LP,4470434000,32578679,1769227.623,0.000395762
marcus hook refinery cogen,50.5,Gas,1987,PA,Marcus Hook Refinery Cogen,300000,3808,202.0923934,0.000673641
marina landfill gas,4.9,Waste,2010.061224,,,,,,
marion,422,Coal,1983.367299,IL,Marion,1652019000,19049361,1772761.241,0.001073088
mariposa energy project,199.6,Gas,2012,CA,Mariposa Energy Project,90836000,1001750,53163.35479,0.000585267
marquette energy center,51.3,Gas,2017,MI,Marquette Energy Center,143874000,1277787,68152.57662,0.000473696
mars snackfood us,3.5,Gas,1987,IL,Mars Snackfood US,18231920,109442,17498.45221,0.00095977
mars wrigley confectionery us  llc,10.2,Gas,1988.313725,,,,,,
marsh landing generating station,828,Gas,2013,CA,Marsh Landing Generating Station,63231000,811555,43069.61457,0.000681147
marsh run generation facility,513.3,Gas,2004,VA,Marsh Run Generation Facility,708342000,7632683,405433.2715,0.000572369
marshall,1.1,Oil,2005.636364,AK,Marshall,1422000,15763,1153.231542,0.000810993
marshall il,16.9,Oil,2003.065089,IL,Marshall (IL),115000,951,69.57579118,0.000605007
marshall mi,11.9,Gas,1966.243697,MI,Marshall (MI),39000,2514,142.0780589,0.003643027
marshall mn,18,Oil,1969,MN,Marshall (MN),83000,1316,96.27943343,0.001159993
marshall mo,30.8,Gas,1981.74026,MO,Marshall (MO),6410000,100656,5484.281683,0.000855582
marshall nc,2119,Coal,1968.184285,NC,Marshall (NC),7786940000,75400339,7030516.269,0.00090286
marshall energy facility,688,Gas,2002,KY,Marshall Energy Facility,73105000,909548,48665.68577,0.000665696
marshalltown,189,Gas,1978,IA,Marshalltown,29934000,173422,9203.589034,0.000307463
marshalltown generating station,705.9,Gas,2017,IA,Marshalltown Generating Station,3761078000,25335676,1344576.523,0.000357498
marshfield utilities gas plant,60.4,Gas,2011,WI,Marshfield Utilities Gas Plant,970000,11126,590.4621766,0.000608724
martin,4317.5,Gas,1991.143463,FL,Martin,11716829000,83163365,4413918.931,0.000376716
martin drake,207,Coal,1971.826087,CO,Martin Drake,739964000,8696951,838763.5641,0.001133519
martin lake,2379.6,Coal,1978,TX,Martin Lake,12150030000,137860643,13421331.05,0.001104634
martinez refining,100,Gas,1995.6,CA,Martinez Refining,791838407,5301477,440956.315,0.000556877
martinsville lfg generator,1.1,Waste,2012,VA,Martinsville LFG Generator,2476398,30712,1629.900626,0.000658174
mass inst tech cntrl utilitiescogen plt,21.2,Gas,1995,MA,Mass Inst Tech Cntrl Utilities/Cogen Plt,93701720,429255,68252.2855,0.000728399
massena energy facility,104.1,Gas,1992,NY,Massena Energy Facility,1481000,13491,715.9738652,0.000483439
masspower,260.9,Gas,1993,MA,Masspower,282447000,2407930,130073.7864,0.000460525
maxim,1.1,Gas,2014,CA,Maxim,7172000,61556,3266.806556,0.000455495
mayagez,220,Gas,,,,,,,
mayo,763.2,Coal,1983,NC,Mayo,1525530000,18095357,1684337.922,0.0011041
mccartney,117.8,Gas,2002,MO,McCartney,98485000,1164086,61778.60447,0.000627289
mcclain energy facility,551.3,Gas,2001,OK,McClain Energy Facility,2956466000,20556927,1090966.013,0.00036901
mcclellan ar,136,Gas,1972,AR,McClellan (AR),34073000,435284,23100.73145,0.000677978
mcclellan ca,77,Gas,1986,CA,McClellan (CA),2195000,27851,1478.065979,0.000673379
mcclure,142.4,Oil,1980.5,CA,McClure,2659000,47939,3052.186339,0.00114787
mccook,56.7,Oil,1973,NE,McCook,717000,9239,675.931372,0.000942722
mcgrath,2.2,Oil,2000.090909,AK,McGrath,1556000,20154,1474.480016,0.000947609
mcgrath peaker,49.8,Gas,2012,CA,McGrath Peaker,19740000,198800,10550.41171,0.000534469
mcgregor,2,Oil,1966.25,IA,McGregor,9000,120,8.779279644,0.000975476
mcintosh,988,Gas,1991.508704,GA,McIntosh,60005000,967461,64141.66172,0.001068939
mcintosh al,676,Gas,2003.399408,AL,McIntosh (AL),661232000,7390986,392276.9369,0.000593252
mcintosh combined cycle facility,1376.6,Gas,2005,GA,McIntosh Combined Cycle Facility,8434782000,59247277,3144281.515,0.000372776
mckay bay facility,22.1,Waste,1985,FL,McKay Bay Facility,144601000,3225523,134473.2738,0.000929961
mckee run,113.6,Gas,1975,DE,McKee Run,4000,28,1.485973481,0.000371493
mckinley paper co  washington mill,20,Waste,2013,,,,,,
mckittrick cogen,12,Gas,2012,CA,McKittrick Cogen,74921000,900983,49765.88871,0.000664245
mckittrick limited,46,Gas,1991,CA,McKittrick Limited,15387000,118585,7720.746712,0.000501771
mcleansboro,9.2,Oil,1986.478261,IL,McLeansboro,78000,783,57.28479968,0.000734421
mcmanus,500.6,Oil,1972.636037,GA,McManus,9635000,164146,12009.0303,0.001246397
mcmeekin,293.6,Gas,1958.5,SC,McMeekin,752842000,7754860,411554.1538,0.000546667
mcminnville,24,Oil,2001.333333,TN,McMinnville,125000,1252,91.59715096,0.000732777
mcpherson 2,214.8,Gas,1975.98324,KS,McPherson 2,21575000,337656,19233.00233,0.000891449
mcpherson 3,115.6,Gas,1998,KS,McPherson 3,9617000,127429,6812.019688,0.000708331
mcwilliams,654,Gas,1998.460245,AL,McWilliams,3560672000,27146624,1440838.778,0.000404654
mead rumford cogen,12.5,Gas,1954,ME,Mead Rumford Cogen,0,0,33350.97652,inf
meade,8.2,Gas,1964.012195,KS,Meade,77000,951,53.4835552,0.000694592
mecklenburg power station,139.8,Coal,1992,,,,,,
medford operation,8.5,Waste,1961.294118,,,,,,
medical area total energy plant,101.6,Gas,1993.005906,MA,Medical Area Total Energy Plant,316296080,1512283,432056.4036,0.001365987
melrose,8.2,Oil,1963.256098,MN,Melrose,62000,653,47.7739134,0.000770547
melrose 2,1,Oil,2014,MN,Melrose 2,5000,48,3.511711858,0.000702342
memphis,8.8,Oil,1974.761364,,,,,,
meramec,1041,Coal,1961.335735,MO,Meramec,496946000,6105497,580980.7624,0.001169102
merck rahway power plant,21.3,Gas,2000.995305,NJ,Merck Rahway Power Plant,42823060,192218,88723.89742,0.002071872
mercy medical center,2.6,Oil,1986.461538,NY,Mercy Medical Center,9000,94,6.877102388,0.000764122
meridian,9,Oil,1998,MS,Meridian,8000,251,18.36332659,0.002295416
merl parr,36,Gas,1969,IA,Merl Parr,-270000,1064,56.46699226,-0.000209137
merom,1080,Coal,1982.5,IN,Merom,4590850000,48349156,4509750.965,0.000982335
merrimack,496.4,Coal,1966.435536,NH,Merrimack,301655000,3432379,319979.7299,0.001060747
mesquite creek lfgte project,3.2,Waste,2011,,,,,,
mesquite generating station block 1,691.6,Gas,2003,AZ,Mesquite Generating Station Block 1,3215958000,23607547,1252863.885,0.000389577
mesquite generating station block 2,691.6,Gas,2004,AZ,Mesquite Generating Station Block 2,3414701000,24943067,1323740.574,0.000387659
mesquite lake energy park plant 2,21,Waste,1987,,,,,,
mesquite lake water  power plant 1,18.1,Waste,2009,,,,,,
metcalf energy center,635,Gas,2005,CA,Metcalf Energy Center,2566081000,19389524,1029011.374,0.000401005
metro gas recovery,9.2,Waste,1990.869565,,,,,,
metro methane recovery facility,11.2,Waste,2004.857143,,,,,,
mexico,60.7,Oil,1978,MO,Mexico,220000,8067,590.1870741,0.002682669
miami dade county resource recovery fac,77,Waste,1982,FL,Miami Dade County Resource Recovery Fac,293971000,6923270,292922.8943,0.000996435
miami fort,1180.8,Coal,1976.193343,OH,Miami Fort,6974467000,71640044,6679879.528,0.000957762
miami wabash,86.6,Oil,1968.376443,,,,,,
michigan city,540,Coal,1974,IN,Michigan City,1072965000,12035962,1146604.46,0.001068632
michigan power lp,138.1,Gas,1995,MI,Michigan Power LP,1020436000,6217371,491301.0434,0.000481462
mickleton station,71.2,Gas,1974,NJ,Mickleton Station,59000,1732,91.91807387,0.001557933
midgeorgia cogeneration facility,323,Gas,1997.670279,GA,Mid-Georgia Cogeneration Facility,230017000,1514850,104392.3534,0.000453846
midset cogeneration,39.1,Gas,1989,,,,,,
middlebury college,1.4,Waste,1993,VT,Middlebury College,1076213,4980,4470.606777,0.004154017
middlesex generating facility,22.5,Waste,1982.333333,,,,,,
middletown,786.4,Oil,1967.928662,CT,Middletown,192921000,2969659,158557.0105,0.000821875
middletown coke company  llc,67,Gas,2012,,,,,,
midland cogeneration venture,1853.8,Gas,1989.822904,MI,Midland Cogeneration Venture,8853024130,67697264,4391468.716,0.000496042
midlothian energy facility,1734,Gas,2000.333333,TX,Midlothian Energy Facility,5536838000,42382315,2249249.862,0.000406234
midulla generating station,897,Gas,2003.727982,FL,Midulla Generating Station,3749101000,27313577,1449568.368,0.000386644
midway peaking llc,139.8,Gas,2009,CA,Midway Peaking LLC,51141000,583032,30941.78894,0.000605029
midway sunset cogen,234,Gas,1989,CA,Midway Sunset Cogen,806368000,3512890,511877.0528,0.000634793
miki basin,10.4,Oil,1992.538462,HI,Miki Basin,31226000,315462,23079.40929,0.000739109
milam gas recovery,2.4,Gas,1991.666667,IL,Milam Gas Recovery,19378000,209012,11092.36747,0.000572421
milan,21,Gas,2017,PA,Milan,47976000,435975,23137.40315,0.00048227
miles city gt,23.3,Gas,1972,MT,Miles City GT,236000,6449,342.2515349,0.001450218
milford,6.5,Oil,1989.338462,IA,Milford,213000,2245,164.24569,0.000771107
milford power lp,231.2,Gas,1993,MA,Milford Power LP,212072000,1869181,99198.33558,0.000467758
milford power project,578,Gas,2004,CT,Milford Power Project,3713789000,27178978,1442401.448,0.000388391
mill creek ky,1717.2,Coal,1977.196017,KY,Mill Creek (KY),8258067000,87536820,8154204.645,0.000987423
mill creek sc,799.2,Gas,2003,SC,Mill Creek (SC),73101000,980003,52184.47769,0.000713868
mill seat renewable energy facility,6.4,Waste,2007,,,,,,
millcreek power generation,80,Gas,2008,UT,Millcreek Power Generation,78406000,766845,40696.83335,0.000519053
millennium power,360,Gas,2001,MA,Millennium Power,902825000,6617170,351176.3977,0.000388975
millercoors irwindale brewery,13.9,Gas,2004.697842,,,,,,
millersville lfg,3.2,Waste,2012,,,,,,
milton l kapp,218.5,Gas,1967,,,,,,
milton r young,734,Coal,1974.549046,ND,Milton R Young,4705187000,54769438,5106238.498,0.001085236
minneapolis city of,9.1,Gas,1971.615385,KS,Minneapolis City of,184000,1906,107.4204745,0.000583807
minnesota river,49,Gas,2001,MN,Minnesota River,201000,2188,116.1182134,0.000577703
mint farm generating station,319,Gas,2008,WA,Mint Farm Generating Station,1864732000,13835159,734238.549,0.00039375
mira loma peaker,49.8,Gas,2007,CA,Mira Loma Peaker,16605000,171485,9100.791511,0.000548075
miramar energy facility,106,Gas,2007,CA,Miramar Energy Facility,73629000,748794,39738.85809,0.000539717
mississippi baptist medical center,4.2,Gas,1991,,,,,,
missouri center for waste to energy,2.4,Waste,2014,,,,,,
missouri st  power plant,1,Oil,1989,,,,,,
mitchell wv,1632.6,Coal,1971,WV,Mitchell (WV),5040707000,53999208,5031114.954,0.000998097
moberly,60.6,Oil,1978,MO,Moberly,2125000,24046,1759.221319,0.000827869
mobile,3.1,Oil,1990.516129,NE,Mobile,66000,777,56.8458357,0.000861301
mobile energy services llc,96.7,Waste,1985,AL,Mobile Energy Services LLC,35796000,403911,49102.71997,0.001371738
mobile unit,3.7,Oil,2000.189189,SD,Mobile Unit,-92000,390,28.53265884,-0.000310138
model city energy facility,5.6,Waste,2001,,,,,,
model gas power station,2.8,Waste,2001,,,,,,
modern innovative energy llc,6.4,Waste,2006,,,,,,
moline,75.6,Gas,1968.666667,IL,Moline,79000,9713,515.4735863,0.006524982
mon valley works,52.5,Gas,1945.809524,,,,,,
mondelez global llc,4.7,Gas,1995,IL,Mondelez Global LLC,16000000,121315,14647.39981,0.000915462
monmouth landfill gas to energy,9.8,Waste,1998,,,,,,
monroe mi,3293.1,Coal,1972.737087,MI,Monroe (MI),15321784000,158842109,14876284.06,0.000970924
monroe mo,10.4,Oil,1992.615385,,,,,,
monroe community college plant,6.4,Gas,2004,NY,Monroe Community College Plant,10938000,67605,7744.363076,0.000708024
monroe generating station,30,Gas,2010,NC,Monroe Generating Station,1224000,20932,1148.64086,0.000938432
monroe livingston gas recovery,1.6,Waste,1989,,,,,,
monroe middle school,1.8,Oil,2006,NC,Monroe Middle School,46000,780,57.06531769,0.00124055
mont belvieu cogeneration unit,15,Gas,2009,TX,Mont Belvieu Cogeneration Unit,94057460,430885,104840.4707,0.001114643
montana power station,527.2,Gas,2015.5,TX,Montana Power Station,1051590000,9941058,527590.054,0.000501707
montefieor medical center moses division,18,Gas,2001.5,NY,Montefieor Medical Center Moses Division,29900000,370294,34128.22389,0.001141412
montefiore  westchester square,1,Oil,1983,NY,Montefiore - Westchester Square,7000,45,3.292229867,0.000470319
monterey diesel generation facility,6,Oil,2016,VA,Monterey Diesel Generation Facility,286000,2694,197.094828,0.000689143
montezuma,9.8,Oil,1978.806122,IA,Montezuma,217000,2468,162.8610675,0.000750512
montgomery county oaks lfge plant,2.4,Waste,2009,,,,,,
montgomery county resource recovery,67.8,Waste,1995,MD,Montgomery County Resource Recovery,273637000,6211617,259466.8091,0.000948215
monticello,1980,Coal,1983.311818,,,,,,
montpelier,10.8,Oil,2000,OH,Montpelier,363000,3606,263.8173533,0.00072677
montpelier electric generating station,236,Gas,2001,IN,Montpelier Electric Generating Station,151435000,1625775,86280.66198,0.000569754
montrose,376,Coal,1962,,,,,,
montville station,495.3,Oil,1968.382193,CT,Montville Station,10071000,142069,9073.226351,0.000900926
monument,13.5,Oil,1968,OH,Monument,152000,1322,96.71839742,0.000636305
mooreland,305,Gas,1970.508197,OK,Mooreland,80339000,1028844,54601.24641,0.000679636
moose lake,8.9,Oil,1994.191011,MN,Moose Lake,81000,811,53.04507122,0.000654877
mooseheart power house,1.8,Gas,1986,,,,,,
mora,13.8,Oil,1972.326087,MN,Mora,71000,5429,373.2015656,0.00525636
moreau,60.8,Oil,1978,MO,Moreau,1711000,21474,1571.052092,0.000918207
moretown,1.6,Waste,2009,,,,,,
morgan creek,536.4,Gas,1988,TX,Morgan Creek,16407000,219340,11915.27291,0.000726231
morgan energy center,900,Gas,2003.233333,AL,Morgan Energy Center,3121340000,22043103,1387639.928,0.000444565
morganton  parker road,1.8,Oil,2002,,,,,,
morganton station 5,1.8,Oil,2006,NC,Morganton Station 5,-31000,56,4.096997167,-0.000132161
morgantown energy facility,68.9,Coal,1991,WV,Morgantown Energy Facility,344130000,3472486,516744.3493,0.001501596
morgantown generating plant,1548,Coal,1970.931525,MD,Morgantown Generating Plant,1737320000,18471823,1722817.551,0.000991652
morris cogeneration llc,212.5,Gas,1998.780235,IL,Morris Cogeneration LLC,653343000,4628181,434819.8283,0.000665531
morris genco llc,2.2,Waste,2012,,,,,,
morton salt rittman,2.5,Gas,2015,OH,Morton Salt Rittman,14728480,63960,79600.04363,0.005404498
moselle,510.5,Gas,1994.01763,MS,Moselle,1234049000,10614636,563323.8429,0.000456484
moser generating station,63.6,Oil,1970,PA,Moser Generating Station,597000,13245,969.0129907,0.001623137
motiva enterprises port arthur refinery,276.8,Gas,1996.561416,TX,Motiva Enterprises Port Arthur Refinery,1642575857,7040184,862279.2584,0.000524956
mount clinton,24,Oil,2001.583333,VA,Mount Clinton,615440,8211,600.7222097,0.000976086
mount sinai beth israel,2.3,Oil,1988,NY,Mount Sinai Beth Israel,47000,474,34.6781546,0.000737833
mount sinai hospital,18.7,Oil,1996.122995,NY,Mount Sinai Hospital,138000,1267,92.69456091,0.0006717
mountain,54,Oil,1972,PA,Mountain,1727000,30282,2215.451218,0.001282832
mountain creek,852.2,Gas,1963.812133,TX,Mountain Creek,412977000,5068139,268968.5768,0.000651292
mountain home energy center,6.8,Oil,2002,TN,Mountain Home Energy Center,17578000,151376,8108.372858,0.00046128
mountain lake,9.2,Oil,1981.880435,MN,Mountain Lake,86000,919,64.64301643,0.000751663
mountain view,14.4,Waste,2003,PA,Mountain View,1483092,17458,1277.238867,0.0008612
mountain village,2.3,Oil,2007.913043,AK,Mountain Village,2595000,24898,1821.554205,0.000701948
mountaineer,1300,Coal,1980,WV,Mountaineer,8255230000,82424022,7687098.131,0.000931179
mountainview generating station,1036.8,Gas,2006,CA,Mountainview Generating Station,3040688100,23535775,1249054.91,0.00041078
mt pleasant,24,Oil,2002,IA,Mt Pleasant,478000,4251,311.0059814,0.00065064
mt poso cogeneration,62,Waste,1989,CA,Mt Poso Cogeneration,2246992,35476,2002.083913,0.000891006
mt storm,1680.9,Coal,1968.156166,WV,Mt Storm,4533104000,48240386,4496130.552,0.000991844
mulberry cogeneration facility,125.3,Gas,1994,FL,Mulberry Cogeneration Facility,392608000,3102630,180966.6799,0.000460935
multitrade rabun gap  llc,20,Waste,2010,,,,,,
multitrade of pittsylvania lp,90,Waste,1994,,,,,,
mulvane 2,9.2,Oil,2003,KS,Mulvane 2,24000,480,35.11711858,0.001463213
municipal cogen plant,1.2,Gas,2015,CA,Municipal Cogen Plant,4151000,43706,2319.498462,0.000558781
municipal light,7.2,Oil,1964.111111,AR,Municipal Light,9000,106,7.755030353,0.00086167
municipal power plant,2,Gas,2002,MI,Municipal Power Plant,136000,1541,81.78161191,0.000601335
munster landfill gastoenergy,1.1,Waste,2012,,,,,,
murphybrown llc,2.4,Oil,1995,NC,Murphy-Brown LLC,0,92,6.730781061,inf
murray gill,228,Gas,1957.5,,,,,,
murray turbine,42,Gas,2001.333333,UT,Murray Turbine,5824000,69313,3678.474281,0.000631606
muscatine plant 1,293.5,Coal,1978.335605,IA,Muscatine Plant #1,694973000,3992530,1047157.979,0.001506761
museum of science and industry,1.7,Gas,2003,IL,Museum of Science and Industry,0,1097,58.21831815,inf
muskogee,1716,Coal,1980,OK,Muskogee,1551059000,18379891,1325267.941,0.000854428
muskogee mill,114,Coal,1980.561404,OK,Muskogee Mill,373242000,3596851,560787.2171,0.001502476
mustang,546.5,Gas,2010.451052,OK,Mustang,8406000,118893,6309.829292,0.000750634
mustang station,521,Gas,1999.331286,TX,Mustang Station,2419793000,18965783,1006523.235,0.000415954
mustang station unit 4,510,Gas,2008.666667,TX,Mustang Station Unit 4,1757444000,19333757,1026051.792,0.000583832
myrtle beach,111.5,Oil,1969.849327,SC,Myrtle Beach,-826000,1551,113.4721894,-0.000137376
mystic generating station,2375.6,Gas,1995.524499,MA,Mystic Generating Station,2188027000,16875066,902706.2907,0.000412566
naea lakewood llc,236.8,Gas,1994,NJ,NAEA Lakewood LLC,352989000,3050466,161889.6993,0.000458625
naea ocean peaking power llc,383,Gas,2003,NJ,NAEA Ocean Peaking Power LLC,71728000,755239,40080.89734,0.00055879
nafta region olefins complex cogen fac,83.2,Gas,2001,TX,NAFTA Region Olefins Complex Cogen Fac,389647020,1938012,282029.2753,0.000723807
ncah central utility plant,15.9,Oil,2004.742138,IA,NCAH Central Utility Plant,21074900,88402,15812.76188,0.000750313
ncsu cates cogeneration plant,11.2,Gas,2012,NC,NCSU Cates Cogeneration Plant,77497000,935637,58184.22695,0.000750793
necco cogeneration,5.8,Gas,2004,,,,,,
neo freehold gen llc,2.2,Gas,1997,,,,,,
nih cogeneration facility,22,Gas,2004,MD,NIH Cogeneration Facility,164457000,2016564,107020.0224,0.000650748
nrg chalk point ct,94,Gas,1990,MD,NRG Chalk Point CT,891000,18431,1027.563892,0.00115327
nrg energy center dover,118,Gas,1998.559322,,,,,,
nrg energy san diego,1.6,Gas,1986,CA,NRG Energy San Diego,1039535,6464,1389.96898,0.001337106
nrg rockford i,316,Gas,2000,IL,NRG Rockford I,132219000,1416544,75176.67207,0.000568577
nrg rockford ii energy center,168,Gas,2002,IL,NRG Rockford II Energy Center,85390000,899916,47758.97538,0.000559304
nrg sterlington power,208.5,Gas,2000.482014,LA,NRG Sterlington Power,2570000,47548,2523.395252,0.000981866
nsb anaktuvuk pass,2.7,Oil,2000.666667,AK,NSB Anaktuvuk Pass,3813000,41325,3023.364428,0.00079291
nsb atqasuk utility,3.2,Oil,1997.6875,AK,NSB Atqasuk Utility,2782000,35636,2607.153412,0.000937151
nsb kaktovik utility,2.6,Oil,2000,AK,NSB Kaktovik Utility,4510000,46532,3404.312003,0.000754836
nsb nuiqsut utility,4.4,Oil,2004.181818,AK,NSB Nuiqsut Utility,6902000,85519,4955.526326,0.000717984
nsb point hope utility,3.1,Oil,2004.903226,AK,NSB Point Hope Utility,6269000,75790,5544.846702,0.000884487
nsb point lay utility,2.4,Oil,2013,AK,NSB Point Lay Utility,3667000,38596,2823.708976,0.000770032
nsb wainwright utility,3,Oil,1995.933333,AK,NSB Wainwright Utility,6962000,78296,5728.187325,0.000822779
ntcmcrd energy facility,25.6,Gas,1989,,,,,,
ny  presbyt hospital  525 e 68th st,18.4,Oil,2008.163043,NY,NY - Presbyt. Hospital - 525 E 68TH St,46669000,558712,31576.43245,0.000676604
ny times daily production facility,12,Oil,2006,NY,NY Times Daily Production Facility,63000,695,50.84666127,0.00080709
nychh  coney island hospital,2.8,Oil,2000.821429,NY,NYC-HH - CONEY ISLAND HOSPITAL,280000,2750,201.1918252,0.000718542
nyu langone health,18,Oil,2012.155556,NY,NYU LANGONE HEALTH,51146000,1085505,57626.65548,0.001126709
nyu luthern medical center,4.6,Oil,2001.826087,NY,NYU Luthern Medical Center,18000,89,28.67898017,0.001593277
nacogdoches power,114,Waste,2012,,,,,,
naknek,9.9,Oil,1994.757576,AK,Naknek,25378080,126223,17659.81365,0.000695869
nalco,4.7,Gas,1985,IL,Nalco,18206000,95566,14562.43397,0.00079987
nanticoke lfg,4,Waste,2006,,,,,,
nantucket,7.4,Oil,1988,,,,,,
napoleon,5.4,Oil,1991,,,,,,
napoleon peaking,5.4,Oil,1999,OH,Napoleon Peaking,163000,1622,118.6665965,0.000728016
napoleon peaking station,49.5,Gas,2000,OH,Napoleon Peaking Station,2197000,37796,2005.851917,0.000912996
narrows gas turbines generating,352,Gas,1972,NY,Narrows Gas Turbines Generating,37090000,641360,34037.28398,0.000917694
nashua plant,2.4,Waste,2009.333333,,,,,,
nassau energy corp,55,Gas,1991,NY,Nassau Energy Corp,351844220,1718917,189222.5271,0.000537802
naughton,832,Coal,1968.230769,WY,Naughton,2840670000,31566672,3054600.348,0.00107531
navajo,2409.3,Coal,1975,AZ,Navajo,9949554000,107673464,10041668.12,0.001009258
naval hospital medical center,5.3,Gas,2004,CA,Naval Hospital Medical Center,20063785,154717,15385.82249,0.000766845
naval station energy facility,55.2,Gas,1990.507246,,,,,,
naval submarine base kings bay,30,Oil,1987.833333,GA,Naval Submarine Base Kings Bay,3327274,30944,2263.883578,0.000680402
navy yard peaker station,6,Gas,2018,PA,Navy Yard Peaker Station,3266000,32359,1717.307709,0.000525814
nearman creek,355,Coal,1987.619718,KS,Nearman Creek,1068102000,12122544,1172447.659,0.001097693
nebo power station,140,Gas,2004,UT,Nebo Power Station,419394000,3585815,190300.9284,0.000453752
nebraska city,1389.6,Coal,1994.932642,NE,Nebraska City,6812457000,69581145,6748556.248,0.00099062
nebraska city  1,26.1,Gas,1968.961686,NE,Nebraska City # 1,-254000,8329,466.9559562,-0.001838409
nebraska city  2,13.5,Gas,1998,NE,Nebraska City # 2,-778000,1146,64.31446345,-8.27E-05
neenah paper munising mill,6.2,Coal,1930,MI,Neenah Paper Munising Mill,564000,3887,75766.69114,0.134338105
neil simpson gas turbine 2,40,Gas,2001,WY,Neil Simpson Gas Turbine #2,16426000,187144,9931.82218,0.00060464
neil simpson ii,130,Coal,1996.538462,WY,Neil Simpson II,714853000,8653922,821378.3065,0.001149017
nelson energy center,627.5,Gas,2015,IL,Nelson Energy Center,4017076000,28309202,1502382.98,0.000373999
nelson gardens landfill gas to energy,4.4,Waste,2014,,,,,,
neptune gas processing plant,4.5,Other,2004,,,,,,
nevada,22,Oil,1974,MO,Nevada,59000,6156,450.3770458,0.007633509
nevada cogen assoc1 garnetvly,94.8,Gas,1992,NV,Nevada Cogen Assoc#1 GarnetVly,709630000,5397347,347622.4268,0.000489864
nevada cogen associates 2 black mountain,96.3,Gas,1992.76947,NV,Nevada Cogen Associates 2 Black Mountain,706855000,5230960,371970.3676,0.000526233
new bern,5.4,Waste,2008.333333,NC,New Bern,790884,9516,696.1968758,0.000880277
new castle plant,354.4,Gas,1958.841986,PA,New Castle Plant,348070000,4212094,223539.8856,0.000642227
new covert generating facility,1176,Gas,2004,MI,New Covert Generating Facility,7405770000,53542500,2841526.253,0.000383691
new hampton,26.5,Gas,1982.607547,IA,New Hampton,851000,8305,541.1409892,0.000635888
new haven harbor,641.5,Gas,1985.468433,CT,New Haven Harbor,-4276000,269890,15526.14779,-0.003630998
new knoxville,1.1,Oil,2000,,,,,,
new lisbon,8.3,Oil,1990.795181,WI,New Lisbon,24000,145,10.60829624,0.000442012
new madrid,1300,Coal,1974.5,MO,New Madrid,6880553000,69083956,6444605.847,0.000936641
new mexico state university,4.7,Gas,1997,NM,New Mexico State University,36228000,237710,25651.0865,0.000708046
new milford gas recovery,2.4,Waste,2008,,,,,,
new prague,16.9,Gas,1972.828402,MN,New Prague,-63000,12298,755.9243176,-0.011998799
new river,5.4,Waste,2013,VA,New River,821764,8899,651.0567463,0.000792267
new roads,9.4,Gas,1960.595745,,,,,,
new stuyahok,1.4,Oil,2008.214286,AK,New Stuyahok,1789000,17347,1269.118033,0.000709401
new ulm,78.5,Oil,1982.503185,MN,New Ulm,5195000,33292,18309.5018,0.003524447
new york methodist hospital,4.4,Oil,2006.454545,NY,New York Methodist Hospital,25000,237,17.3390773,0.000693563
new york presbyterian hospital168th st,11.9,Oil,2003.02521,NY,New York Presbyterian Hospital-168th St,65000,864,63.21081344,0.000972474
new york university central plant,19,Gas,1999.631579,NY,New York University Central Plant,92787000,935255,49949.14583,0.000538321
newindy ontario mill,34,Gas,1985,CA,New-Indy Ontario Mill,231048000,1598798,175273.9155,0.000758604
newark america mill,6.3,Gas,2007,MA,Newark America Mill,0,0,73.07805295,inf
newark bay cogeneration partnership lp,139,Gas,1993,,,,,,
newark energy center,735,Gas,2015,NJ,Newark Energy Center,5007215000,33820185,1794853.501,0.000358453
newberry,5.5,Oil,1975.272727,MI,Newberry,11000,192,14.04684743,0.001276986
newgulf cogen,101.9,Gas,1984,TX,Newgulf Cogen,6563000,159844,8482.998037,0.001292549
newhalen,1.7,Oil,2005.411765,AK,Newhalen,56000,802,58.67485229,0.001047765
newington,414,Gas,1974,NH,Newington,5780000,82019,4831.42728,0.000835887
newman,913,Gas,1984.334721,TX,Newman,3162889000,30773992,1633266.191,0.000516384
